"","alpha","label","coeff"
"1",0.005,"iprs",0
"2",0.01,"iprs",0
"3",0.03,"iprs",0
"4",0.05,"iprs",0
"5",0.07,"iprs",0
"6",0.1,"iprs",0
"7",0.3,"iprs",0
"8",0.5,"iprs",0
"9",0.7,"iprs",0
"10",1,"iprs",0
"11",0.005,"sprs",0
"12",0.01,"sprs",0
"13",0.03,"sprs",0
"14",0.05,"sprs",0
"15",0.07,"sprs",0
"16",0.1,"sprs",0
"17",0.3,"sprs",0
"18",0.5,"sprs",0
"19",0.7,"sprs",0
"20",1,"sprs",0
"21",0.005,"ifs",0
"22",0.01,"ifs",0
"23",0.03,"ifs",0
"24",0.05,"ifs",0
"25",0.07,"ifs",0
"26",0.1,"ifs",0
"27",0.3,"ifs",0
"28",0.5,"ifs",0
"29",0.7,"ifs",0
"30",1,"ifs",0
"31",0.005,"sfs-p",-5.74
"32",0.01,"sfs-p",-4.29
"33",0.03,"sfs-p",0
"34",0.05,"sfs-p",0
"35",0.07,"sfs-p",0
"36",0.1,"sfs-p",0
"37",0.3,"sfs-p",0
"38",0.5,"sfs-p",0
"39",0.7,"sfs-p",0
"40",1,"sfs-p",0
"41",0.005,"sfs-a",0
"42",0.01,"sfs-a",0
"43",0.03,"sfs-a",0
"44",0.05,"sfs-a",0
"45",0.07,"sfs-a",0
"46",0.1,"sfs-a",0
"47",0.3,"sfs-a",0
"48",0.5,"sfs-a",0
"49",0.7,"sfs-a",0
"50",1,"sfs-a",0
"51",0.005,"imfs-h",0
"52",0.01,"imfs-h",0
"53",0.03,"imfs-h",0
"54",0.05,"imfs-h",0
"55",0.07,"imfs-h",0
"56",0.1,"imfs-h",0
"57",0.3,"imfs-h",0
"58",0.5,"imfs-h",0
"59",0.7,"imfs-h",0
"60",1,"imfs-h",0
"61",0.005,"imfs-v",-1.8
"62",0.01,"imfs-v",-1.54
"63",0.03,"imfs-v",0
"64",0.05,"imfs-v",0
"65",0.07,"imfs-v",0
"66",0.1,"imfs-v",0
"67",0.3,"imfs-v",0
"68",0.5,"imfs-v",0
"69",0.7,"imfs-v",0
"70",1,"imfs-v",0
"71",0.005,"pmfs-p",-0.87
"72",0.01,"pmfs-p",-0.41
"73",0.03,"pmfs-p",0
"74",0.05,"pmfs-p",0
"75",0.07,"pmfs-p",0
"76",0.1,"pmfs-p",0
"77",0.3,"pmfs-p",0
"78",0.5,"pmfs-p",0
"79",0.7,"pmfs-p",0
"80",1,"pmfs-p",0
"81",0.005,"pmfs-i",0
"82",0.01,"pmfs-i",0
"83",0.03,"pmfs-i",0
"84",0.05,"pmfs-i",0
"85",0.07,"pmfs-i",0
"86",0.1,"pmfs-i",0
"87",0.3,"pmfs-i",0
"88",0.5,"pmfs-i",0
"89",0.7,"pmfs-i",0
"90",1,"pmfs-i",0
"91",0.005,"pmfs-a",-0.86
"92",0.01,"pmfs-a",-0.55
"93",0.03,"pmfs-a",0
"94",0.05,"pmfs-a",0
"95",0.07,"pmfs-a",0
"96",0.1,"pmfs-a",0
"97",0.3,"pmfs-a",0
"98",0.5,"pmfs-a",0
"99",0.7,"pmfs-a",0
"100",1,"pmfs-a",0
"101",0.005,"pimfs",0
"102",0.01,"pimfs",0
"103",0.03,"pimfs",0
"104",0.05,"pimfs",0
"105",0.07,"pimfs",0
"106",0.1,"pimfs",0
"107",0.3,"pimfs",0
"108",0.5,"pimfs",0
"109",0.7,"pimfs",0
"110",1,"pimfs",0
"111",0.005,"ds",3.26
"112",0.01,"ds",2.71
"113",0.03,"ds",1.01
"114",0.05,"ds",0
"115",0.07,"ds",0
"116",0.1,"ds",0
"117",0.3,"ds",0
"118",0.5,"ds",0
"119",0.7,"ds",0
"120",1,"ds",0
"121",0.005,"ts",-0.26
"122",0.01,"ts",-0.09
"123",0.03,"ts",0
"124",0.05,"ts",0
"125",0.07,"ts",0
"126",0.1,"ts",0
"127",0.3,"ts",0
"128",0.5,"ts",0
"129",0.7,"ts",0
"130",1,"ts",0
"131",0.005,"prts",-0.3
"132",0.01,"prts",0
"133",0.03,"prts",0
"134",0.05,"prts",0
"135",0.07,"prts",0
"136",0.1,"prts",0
"137",0.3,"prts",0
"138",0.5,"prts",0
"139",0.7,"prts",0
"140",1,"prts",0
"141",0.005,"half",-3.25
"142",0.01,"half",-2.74
"143",0.03,"half",-0.63
"144",0.05,"half",0
"145",0.07,"half",0
"146",0.1,"half",0
"147",0.3,"half",0
"148",0.5,"half",0
"149",0.7,"half",0
"150",1,"half",0
"151",0.005,"aalf",2.77
"152",0.01,"aalf",2.81
"153",0.03,"aalf",2.3
"154",0.05,"aalf",1.75
"155",0.07,"aalf",1.23
"156",0.1,"aalf",0.45
"157",0.3,"aalf",0
"158",0.5,"aalf",0
"159",0.7,"aalf",0
"160",1,"aalf",0
"161",0.005,"lfms",3.52
"162",0.01,"lfms",2.84
"163",0.03,"lfms",0.83
"164",0.05,"lfms",0
"165",0.07,"lfms",0
"166",0.1,"lfms",0
"167",0.3,"lfms",0
"168",0.5,"lfms",0
"169",0.7,"lfms",0
"170",1,"lfms",0
"171",0.005,"central",0
"172",0.01,"central",0
"173",0.03,"central",0
"174",0.05,"central",0
"175",0.07,"central",0
"176",0.1,"central",0
"177",0.3,"central",0
"178",0.5,"central",0
"179",0.7,"central",0
"180",1,"central",0
