"","x","y"
"1",1,2.77
"2",1.31034482758621,2.62959625934571
"3",1.62068965517241,2.57841635516425
"4",1.93103448275862,2.59792816231722
"5",2.24137931034483,2.66905388973699
"6",2.55172413793103,2.76838223617716
"7",2.86206896551724,2.87043536965629
"8",3.17241379310345,2.95071702052055
"9",3.48275862068966,3.00258039936776
"10",3.79310344827586,3.03481803995467
"11",4.10344827586207,3.05670144961036
"12",4.41379310344828,3.07569598487023
"13",4.72413793103448,3.09646746853935
"14",5.03448275862069,3.12343781865564
"15",5.3448275862069,3.15795663056525
"16",5.6551724137931,3.19253594488348
"17",5.96551724137931,3.21810845562101
"18",6.27586206896552,3.22766666980171
"19",6.58620689655172,3.22572919656402
"20",6.89655172413793,3.22082162504859
"21",7.20689655172414,3.22087803277719
"22",7.51724137931035,3.22690940648733
"23",7.82758620689655,3.23546022273314
"24",8.13793103448276,3.24308147976255
"25",8.44827586206897,3.24877964788845
"26",8.75862068965517,3.25439998120209
"27",9.06896551724138,3.2619438416014
"28",9.37931034482759,3.27308392965385
"29",9.68965517241379,3.28880374387588
"30",10,3.31
